Basketball/v_Basketball_g01_c01,9,52
Basketball/v_Basketball_g01_c02,64,111
Basketball/v_Basketball_g01_c03,159,206
Basketball/v_Basketball_g01_c04,31,63
Basketball/v_Basketball_g01_c05,33,88
Basketball/v_Basketball_g01_c06,34,86
Basketball/v_Basketball_g01_c07,11,62
Basketball/v_Basketball_g02_c01,27,44
Basketball/v_Basketball_g02_c02,31,56
Basketball/v_Basketball_g02_c03,8,72
Basketball/v_Basketball_g02_c04,1,18
Basketball/v_Basketball_g02_c05,61,111
Basketball/v_Basketball_g02_c06,40,70
Basketball/v_Basketball_g03_c01,33,68
Basketball/v_Basketball_g03_c02,1,30
Basketball/v_Basketball_g03_c03,4,33
Basketball/v_Basketball_g03_c04,1,31
Basketball/v_Basketball_g03_c05,30,69
Basketball/v_Basketball_g03_c06,1,40
Basketball/v_Basketball_g04_c01,31,60
Basketball/v_Basketball_g04_c02,15,48
Basketball/v_Basketball_g04_c03,25,55
Basketball/v_Basketball_g04_c04,1,22
Basketball/v_Basketball_g05_c01,1,47
Basketball/v_Basketball_g05_c02,55,86
Basketball/v_Basketball_g05_c03,18,46
Basketball/v_Basketball_g05_c04,4,33
Basketball/v_Basketball_g06_c01,1,30
Basketball/v_Basketball_g06_c02,1,43
Basketball/v_Basketball_g06_c03,19,54
Basketball/v_Basketball_g06_c04,1,35
Basketball/v_Basketball_g07_c01,33,83
Basketball/v_Basketball_g07_c02,5,45
Basketball/v_Basketball_g07_c03,1,32
Basketball/v_Basketball_g07_c04,15,64
Basketball/v_Basketball_g08_c01,70,115
Basketball/v_Basketball_g08_c02,11,40
Basketball/v_Basketball_g08_c03,10,40
Basketball/v_Basketball_g08_c04,1,30
Basketball/v_Basketball_g09_c01,29,53
Basketball/v_Basketball_g09_c02,31,68
Basketball/v_Basketball_g09_c03,23,51
Basketball/v_Basketball_g09_c04,8,33
Basketball/v_Basketball_g09_c05,39,66
Basketball/v_Basketball_g10_c01,24,62
Basketball/v_Basketball_g10_c02,24,57
Basketball/v_Basketball_g10_c03,1,26
Basketball/v_Basketball_g10_c04,24,58
Basketball/v_Basketball_g10_c05,16,51
Basketball/v_Basketball_g11_c01,7,36
Basketball/v_Basketball_g11_c02,12,51
Basketball/v_Basketball_g11_c03,1,34
Basketball/v_Basketball_g11_c04,7,47
Basketball/v_Basketball_g11_c05,1,37
Basketball/v_Basketball_g12_c01,5,43
Basketball/v_Basketball_g12_c02,11,56
Basketball/v_Basketball_g12_c03,9,44
Basketball/v_Basketball_g12_c04,10,49
Basketball/v_Basketball_g12_c05,26,55
Basketball/v_Basketball_g13_c01,31,62
Basketball/v_Basketball_g13_c02,95,123
Basketball/v_Basketball_g13_c03,9,53
Basketball/v_Basketball_g13_c04,31,59
Basketball/v_Basketball_g14_c01,14,58
Basketball/v_Basketball_g14_c02,22,44
Basketball/v_Basketball_g14_c03,5,29
Basketball/v_Basketball_g14_c04,35,75
Basketball/v_Basketball_g14_c05,11,36
Basketball/v_Basketball_g15_c01,8,56
Basketball/v_Basketball_g15_c02,39,79
Basketball/v_Basketball_g15_c03,60,87
Basketball/v_Basketball_g15_c04,38,66
Basketball/v_Basketball_g15_c05,62,105
Basketball/v_Basketball_g15_c06,79,124
Basketball/v_Basketball_g15_c07,102,123
Basketball/v_Basketball_g16_c01,66,139
Basketball/v_Basketball_g16_c02,50,115
Basketball/v_Basketball_g16_c03,19,60
Basketball/v_Basketball_g16_c04,9,40
Basketball/v_Basketball_g16_c05,3,35
Basketball/v_Basketball_g16_c06,1,32
Basketball/v_Basketball_g17_c01,6,37
Basketball/v_Basketball_g17_c02,41,68
Basketball/v_Basketball_g17_c03,1,46
Basketball/v_Basketball_g17_c04,9,41
Basketball/v_Basketball_g18_c01,1,26
Basketball/v_Basketball_g18_c02,1,20
Basketball/v_Basketball_g18_c03,30,57
Basketball/v_Basketball_g18_c04,10,32
Basketball/v_Basketball_g18_c05,6,23
Basketball/v_Basketball_g19_c01,26,59
Basketball/v_Basketball_g19_c02,34,67
Basketball/v_Basketball_g19_c03,8,46
Basketball/v_Basketball_g19_c04,38,88
Basketball/v_Basketball_g19_c05,55,97
Basketball/v_Basketball_g19_c06,7,50
Basketball/v_Basketball_g19_c07,36,93
Basketball/v_Basketball_g20_c01,43,76
Basketball/v_Basketball_g20_c02,45,81
Basketball/v_Basketball_g20_c03,19,53
Basketball/v_Basketball_g20_c04,45,75
Basketball/v_Basketball_g20_c05,8,41
Basketball/v_Basketball_g20_c06,18,55
Basketball/v_Basketball_g20_c07,5,38
Basketball/v_Basketball_g21_c01,1,29
Basketball/v_Basketball_g21_c02,5,37
Basketball/v_Basketball_g21_c03,1,33
Basketball/v_Basketball_g21_c04,56,102
